Date,Session (Menti),MnDOT District,MnDOT District (Clean),Event,Source,Zip Code (Clean),Zip Code,Gender Identity,Gender Identity (Clean),Age,Age Range,Race/ Ethnicity,Race/Ethnicity (Clean),What are the top five improvements you feel are most important?:,What are the top five improvements you feel are most important?: 1,What are the top five improvements you feel are most important?: 1_Cleaned,What are the top five improvements you feel are most important?: 2,What are the top five improvements you feel are most important?: 2_Cleaned,What are the top five improvements you feel are most important?: 3,What are the top five improvements you feel are most important?: 3_Cleaned,What are the top five improvements you feel are most important?: 4,What are the top five improvements you feel are most important?: 4_Cleaned,What are the top five improvements you feel are most important?: 5,What are the top five improvements you feel are most important?: 5_Cleaned,Which approach best aligns with your vision for the state highway system?:,Which approach best aligns with your vision for the state highway system?:,Which approach best aligns with your vision for the state highway system?_Cleaned,What else would you like us to know?: (ENGLISH),What else would you like us to know?: (SPANISH/HMONG),Topic Category
2022-09-27,,District 6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,,"Improve Mobility for All Highway Users""Minnesota is growing but we cannot build ourselves out of traffic congestion. In addition to addressing vehicle mobility, the highway system needs improvements for freight and for people walking, bicycling, and taking transit.""",,,
2022-09-27,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,Add new safety improvements,,,"Focus on Safe and Equitable Communities ""Highways should be safer for people to use, including for walking and bicycling. Improvements on highways should support strategies for reconnecting divided communities and other livability improvements.""",,,
2022-09-27,,Central Office - Office of Environmental Stewardship,Central Office,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,,,,,,"Adapt to Changing Technology and Climate Change ""Highways should be made more resistant to the growing extreme weather events and support changing transportation technology. Highways also need to be designed to support more walking and bicycling.""Focus on Safe and Equitable Communities ""Highways should be safer for people to use, including for walking and bicycling. Improvements on highways should support strategies for reconnecting divided communities and other livability improvements.""Improve Mobility for All Highway Users""Minnesota is growing but we cannot build ourselves out of traffic congestion. In addition to addressing vehicle mobility, the highway system needs improvements for freight and for people walking, bicycling, and taking transit.""",There is a great need to pay attention to ecosystem services and natural habitat connectivity. This is not on the list and should be. This is just as important as connectivity in the transportation network itself; the connectivity of the natural environment. We should be 'mirroring' these environs which addresses climate resiliency more naturally; making nature and us allies. Meegwetch and Wopila - much thanks to you for considering this interconnected web with utmost care.,,
2022-09-27,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Adapt to Changing Technology and Climate Change ""Highways should be made more resistant to the growing extreme weather events and support changing transportation technology. Highways also need to be designed to support more walking and bicycling.""",,,
2022-09-27,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Add more freight mobility and safety improvements,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-27,,District 7,District 7,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Maintain smooth driving surface through more repair and reconstruction projects,,Add new safety improvements,,,"Improve Mobility for All Highway Users""Minnesota is growing but we cannot build ourselves out of traffic congestion. In addition to addressing vehicle mobility, the highway system needs improvements for freight and for people walking, bicycling, and taking transit.""",,,
2022-09-27,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-27,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Maintain smooth driving surface through more repair and reconstruction projects,,,,,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-27,,D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Add more freight mobility and safety improvements,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Highway Capacity Expansion""In the future, there needs to be fewer delays and less congestion when traveling on highways. Population continues to grow and MnDOT should be planning for and accommodating the increase in vehicle traffic.""Improve Mobility for All Highway Users""Minnesota is growing but we cannot build ourselves out of traffic congestion. In addition to addressing vehicle mobility, the highway system needs improvements for freight and for people walking, bicycling, and taking transit.""",Consider in investing in the proper tools and equipment for maintaining the and adding roadways ,,
2022-09-27,,Owatonna ,Owatonna ,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,,,,,,higher pay for current employees ,,
2022-09-27,,6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,,,,,"Prioritize Highway Capacity Expansion""In the future, there needs to be fewer delays and less congestion when traveling on highways. Population continues to grow and MnDOT should be planning for and accommodating the increase in vehicle traffic.""",,,
2022-09-27,,6b,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-27,,Albert lea,Albert Lea,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Focus on addressing improvements in urban areas including small towns and main streets,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,,,,,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",fix the horrible bridge approach panels on I35 NB from mile marker 8 to the 13. they are horrible in and work pickup or truck,,
2022-09-27,,Rochester district 6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Highway Capacity Expansion""In the future, there needs to be fewer delays and less congestion when traveling on highways. Population continues to grow and MnDOT should be planning for and accommodating the increase in vehicle traffic.""",,,
2022-09-27,,Owatonna,Owatonna,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-27,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-27,,6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Maintain smooth driving surface through more repair and reconstruction projects,,Maintain rest areas for the safety and health of travelers and truck drivers,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""","I would guess safety, smooth roads, less traffic congestion, and keeping the snow off the roads are probably the top priorities for Mndot.",,
2022-09-27,,D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Maintain smooth driving surface through more repair and reconstruction projects,,Maintain rest areas for the safety and health of travelers and truck drivers,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",Higher quality paint striping.,,
2022-09-27,,D6 Rochester,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Add more freight mobility and safety improvements,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,Maintain rest areas for the safety and health of travelers and truck drivers,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-27,,D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Improve condition of bridges through more repair and replacement projects,,Partner with cities and counties to address community priorities including quality of life and economic development,,Maintain smooth driving surface through more repair and reconstruction projects,,,,,"Prioritize Highway Capacity Expansion""In the future, there needs to be fewer delays and less congestion when traveling on highways. Population continues to grow and MnDOT should be planning for and accommodating the increase in vehicle traffic.""",Hire more employees!,,
2022-09-26,,Rochester District 6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Add more freight mobility and safety improvements,,Maintain smooth driving surface through more repair and reconstruction projects,,Add new safety improvements,,,"Focus on Safe and Equitable Communities ""Highways should be safer for people to use, including for walking and bicycling. Improvements on highways should support strategies for reconnecting divided communities and other livability improvements.""",Traffic speed has gotten out of control and the good drivers pay the price . You almost have to speed to keep from getting ran into I think more traffic cameras to help with safety and ticketing . Or more of those digital (Your speed ) signs.  ,,
2022-09-26,,D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Maintain smooth driving surface through more repair and reconstruction projects,,Maintain rest areas for the safety and health of travelers and truck drivers,,,"Improve Mobility for All Highway Users""Minnesota is growing but we cannot build ourselves out of traffic congestion. In addition to addressing vehicle mobility, the highway system needs improvements for freight and for people walking, bicycling, and taking transit.""","We are hearing a lot and seeing a nationwide push for electric vehicles. I think there needs to be more thought into infrastructure, power plant emissions and the ""harvest"" of raw materials to manufacture these vehicles. I'm not sure they are the answer at this point in time. I look at California recently, they have put out a timeline to eliminate the sale of internal combution engines and in the same week have a heat wave and tell folks to cut back on electrial usage due to demand. That tells me the infrastructure is not there yet.     We need to do something, but in the interim, I think smaller more fuel efficient vehicles or mass transit might be a logical option until infrastructure and other issues are dealt with.           ",,
2022-09-26,,6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Maintain smooth driving surface through more repair and reconstruction projects,,Maintain rest areas for the safety and health of travelers and truck drivers,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,,,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",Invest in MnDOT employees salary to retain good employees ,,
2022-09-26,,District 6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Adapt to Changing Technology and Climate Change ""Highways should be made more resistant to the growing extreme weather events and support changing transportation technology. Highways also need to be designed to support more walking and bicycling.""","Some priorities like creating more equitable transportation systems, adding more green infrastructure, and making our infrastructure more resilient to climate change could all go hand in hand if planned right.",,
2022-09-26,,6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",Increased pay for employee's that can't work from HOME and came to work everyday during the pandemic!,,
2022-09-26,,Rochester D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Add more freight mobility and safety improvements,,Partner with cities and counties to address community priorities including quality of life and economic development,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,,"Prioritize Highway Capacity Expansion""In the future, there needs to be fewer delays and less congestion when traveling on highways. Population continues to grow and MnDOT should be planning for and accommodating the increase in vehicle traffic.""",You should make investment in employee salaries across the board to make it easier to retain the best talent possible and easier to hire the best talent in the future. ,,
2022-09-26,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Maintain smooth driving surface through more repair and reconstruction projects,,Add new safety improvements,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-26,,D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,Add new safety improvements,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",Investment is needed for maintenance as well. Inflation isn't allowing for some things to get done and deferring it adds to the cost in the future.,,
2022-09-26,,District 6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Partner with cities and counties to address community priorities including quality of life and economic development,,Maintain smooth driving surface through more repair and reconstruction projects,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-26,,Austin ,Austin ,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Maintain smooth driving surface through more repair and reconstruction projects,,,,,,,"Adapt to Changing Technology and Climate Change ""Highways should be made more resistant to the growing extreme weather events and support changing transportation technology. Highways also need to be designed to support more walking and bicycling.""Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""Prioritize Bridges""Whatever additional resources are available should be put towards improving and maintaining bridges. MnDOT should not be in a position where it would need to close or limit traffic on bridges because they need repairs.""",Roads and Bridges,,
2022-09-26,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-26,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,,,,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""","Raise the gas tax a little. We got enough bike paths, if they want them let them pay for them. everybody should be in the offices, can't get it done from home.  The construction workers should be plowing snow during the winter or send them home. We are getting too top heavy, we got more office people than people out in the field working. Enough with all the diversity getting shuved at us.",,
2022-09-26,,District 6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Partner with cities and counties to address community priorities including quality of life and economic development,,,,,,,"Focus on Safe and Equitable Communities ""Highways should be safer for people to use, including for walking and bicycling. Improvements on highways should support strategies for reconnecting divided communities and other livability improvements.""",,,
2022-09-26,,Rochester,Rochester,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",Rebuild to current standards,,
2022-09-26,,D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Partner with cities and counties to address community priorities including quality of life and economic development,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Maintain smooth driving surface through more repair and reconstruction projects,,Maintain rest areas for the safety and health of travelers and truck drivers,,Add new safety improvements,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",Do not add to our roadway system until we can prove we can maintain what we currently have.,,
2022-09-26,,D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Partner with cities and counties to address community priorities including quality of life and economic development,,Maintain rest areas for the safety and health of travelers and truck drivers,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,Add new safety improvements,,,"Adapt to Changing Technology and Climate Change ""Highways should be made more resistant to the growing extreme weather events and support changing transportation technology. Highways also need to be designed to support more walking and bicycling.""",Make bike more bike paths as coming up on a big party spread across the road.,,
2022-09-26,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Improve condition of bridges through more repair and replacement projects,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,Add new safety improvements,,,"Adapt to Changing Technology and Climate Change ""Highways should be made more resistant to the growing extreme weather events and support changing transportation technology. Highways also need to be designed to support more walking and bicycling.""",,,
2022-09-26,,D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Highway Capacity Expansion""In the future, there needs to be fewer delays and less congestion when traveling on highways. Population continues to grow and MnDOT should be planning for and accommodating the increase in vehicle traffic.""","when doing mill and fill or unbonded concrete overlays, please make correction to shoulder and in-slope  ",,
2022-09-26,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,Maintain rest areas for the safety and health of travelers and truck drivers,,,,,,
2022-09-26,,D6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Maintain smooth driving surface through more repair and reconstruction projects,,,"Improve Mobility for All Highway Users""Minnesota is growing but we cannot build ourselves out of traffic congestion. In addition to addressing vehicle mobility, the highway system needs improvements for freight and for people walking, bicycling, and taking transit.""",,,
2022-09-26,,6,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,Add new safety improvements,,,"Prioritize Bridges""Whatever additional resources are available should be put towards improving and maintaining bridges. MnDOT should not be in a position where it would need to close or limit traffic on bridges because they need repairs.""","Less emphasis on bike paths, pedestrian...  ",,
2022-09-26,,,No Response,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Maintain smooth driving surface through more repair and reconstruction projects,,,,,,,,,,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""",,,
2022-09-26,,7,District 7,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Pavements/Current Approach""I'd like to see the existing system maintained first before expanding or adding to the system. A smooth road surface when driving is most important. Roads which become rough should not stay that way for long.""Prioritize Bridges""Whatever additional resources are available should be put towards improving and maintaining bridges. MnDOT should not be in a position where it would need to close or limit traffic on bridges because they need repairs.""",,,
2022-09-26,,Central Office,Central Office,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Partner with cities and counties to address community priorities including quality of life and economic development,,Maintain smooth driving surface through more repair and reconstruction projects,,,"Prioritize Bridges""Whatever additional resources are available should be put towards improving and maintaining bridges. MnDOT should not be in a position where it would need to close or limit traffic on bridges because they need repairs.""",The public at large expects MnDOT to build and maintain roadways not to be involved in social politics.,,
2022-09-26,,Central Office,Central Office,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Maintain smooth driving surface through more repair and reconstruction projects,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,,"Prioritize Bridges""Whatever additional resources are available should be put towards improving and maintaining bridges. MnDOT should not be in a position where it would need to close or limit traffic on bridges because they need repairs.""",,,
2022-09-26,,Office of Traffic Engineering,Office of Traffic Engineering,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve condition of bridges through more repair and replacement projects,,Partner with cities and counties to address community priorities including quality of life and economic development,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Add new safety improvements,,,"Focus on Safe and Equitable Communities ""Highways should be safer for people to use, including for walking and bicycling. Improvements on highways should support strategies for reconnecting divided communities and other livability improvements.""",Safety and mobility for all should be prioritized over increased vehicle capacity. ,,
2022-09-26,,D6 - Rochester HQ,District 6,,MnDOT Staff Priorities,,,,No Response,,No Response,,No Response,,,Improve readiness for changing transportation technology,,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Focus on addressing improvements in urban areas including small towns and main streets,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Add new safety improvements,,,"Focus on Safe and Equitable Communities ""Highways should be safer for people to use, including for walking and bicycling. Improvements on highways should support strategies for reconnecting divided communities and other livability improvements.""","Safety should remain our top priority - designing the highway system to get us to zero deaths. This should also mean building safe spaces for people to walk and bike along and near our roadways. Our priority should be to maintain a good rural highway system and put a greater emphasis on safe and welcoming streets in cities, where people feel comfortable walking, biking, shopping, etc.  Freight and mobility are the next most important, but they should never come before safety. Capacity expansion is a low priority and should only be for roadways that have existing delay and safety concerns as 2-lane roadways. No aspirational highway expansions: VMT isn't going up that fast anymore.",,
